SoPlex version 4.0.0 [mode: optimized] [precision: 8 byte] [rational: GMP 6.1.2] [githash: 82cab95]
Copyright (c) 1996-2018 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

int:simplifier = 0
int:scaler = 5
int:readmode = 1
int:solvemode = 2
int:checkmode = 2
real:feastol = 1.00000000e-20
real:opttol = 1.00000000e-20
real:timelimit = 3.00000000e+02

Reading (rational) LP file <Simulation.lp> . . .
Reading took 0.88 seconds.

LP has 16976 rows 21424 columns and 116419 nonzeros.

Initial floating-point solve . . .
Least squares LP scaling

type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    5.8 |   12529 |    64 | 3.56e-02 |  8.83e+07 | 1.16514171e+00
  L  |    6.0 |   12724 |    65 | 3.62e-02 |  1.52e+08 | 1.17254271e+00
  L  |    6.2 |   12920 |    66 | 3.67e-02 |  1.87e+08 | 1.15018751e+00
  L  |    6.4 |   13113 |    67 | 3.80e-02 |  1.57e+05 | 1.09132752e+00
  L  |    6.7 |   13293 |    68 | 4.01e-02 |  3.90e+06 | 1.00892821e+00
  L  |    6.9 |   13489 |    69 | 4.11e-02 |  3.33e+04 | 1.00877487e+00
  L  |    7.1 |   13673 |    70 | 4.23e-02 |  2.89e+05 | 1.00727237e+00
  L  |    7.3 |   13864 |    71 | 4.31e-02 |  6.05e+02 | 1.00726054e+00
  L  |    7.5 |   14054 |    72 | 4.32e-02 |  1.84e+02 | 1.00725834e+00
  L  |    7.7 |   14238 |    72 | 4.39e-02 |  4.90e+02 | 1.00722367e+00
  L  |    7.9 |   14419 |    73 | 4.49e-02 |  3.31e+03 | 1.00702701e+00
  L  |    8.2 |   14599 |    74 | 4.59e-02 |  1.47e+03 | 1.00675831e+00
  L  |    8.4 |   14769 |    75 | 4.66e-02 |  6.88e+02 | 1.00537718e+00
  L  |    8.6 |   14931 |    76 | 4.77e-02 |  1.63e+01 | 1.00424299e+00
  L  |    8.8 |   15099 |    77 | 4.91e-02 |  1.58e+03 | 1.00391977e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    9.0 |   15275 |    78 | 4.94e-02 |  7.72e+00 | 1.00340690e+00
  L  |    9.2 |   15444 |    78 | 5.02e-02 |  1.13e+01 | 1.00269555e+00
  L  |    9.5 |   15617 |    79 | 5.18e-02 |  7.52e+02 | 9.99500329e-01
  L  |    9.7 |   15770 |    80 | 5.54e-02 |  1.16e+02 | 9.94624208e-01
  L  |    9.9 |   15890 |    81 | 6.38e-02 |  2.59e+01 | 9.92618875e-01
  L  |   10.1 |   15976 |    81 | 1.20e-01 |  1.80e-02 | 9.80599993e-01
  L  |   10.2 |   16047 |    81 | 2.30e-01 |  2.00e-02 | 8.90563194e-01
  L  |   10.4 |   16116 |    82 | 6.73e-01 |  6.74e+00 | 6.65582223e-01
  L  |   10.6 |   16208 |    82 | 1.78e+00 |  2.95e+01 | 4.62072147e-01
  L  |   10.7 |   16275 |    83 | 2.43e+00 |  4.68e-03 | 2.58837554e-01
 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  E  |   10.8 |   16297 |    84 | 0.00e+00 |  3.92e+04 | 0.00000000e+00
  E  |   11.0 |   16420 |    84 | 5.38e-05 |  5.27e+05 | 4.71075243e-10
  E  |   11.4 |   16620 |    85 | 5.59e-05 |  1.58e+07 | 1.15276537e-08
  E  |   11.8 |   16820 |    86 | 5.59e-05 |  1.85e+09 | 8.10608578e-08
  E  |   12.1 |   17020 |    88 | 7.44e-06 |  1.43e+08 | 4.00307714e-07
  E  |   12.3 |   17220 |    89 | 7.45e-06 |  1.60e+08 | 4.48777169e-06
  E  |   12.5 |   17415 |    90 | 7.46e-06 |  2.45e+08 | 7.81015634e-01
  E  |   12.6 |   17517 |    90 | 1.37e-05 |  2.45e+08 | 1.00000000e+00
 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  L  |   13.9 |   17534 |    91 | 0.00e+00 |  4.83e-05 | 1.00000000e+00
  L  |   14.2 |   17711 |    91 | 6.14e-05 |  2.81e+01 | 9.99999804e-01
  L  |   14.4 |   17899 |    92 | 2.35e-03 |  4.80e+02 | 9.98041607e-01
  L  |   14.7 |   18048 |    93 | 1.91e-02 |  1.89e+02 | 9.93131356e-01
  L  |   14.9 |   18196 |    94 | 4.64e-02 |  3.78e+02 | 9.76952411e-01
  L  |   15.1 |   18323 |    94 | 1.13e-01 |  8.72e+01 | 9.21194242e-01
  L  |   15.3 |   18447 |    95 | 1.71e-01 |  7.27e+01 | 8.37967587e-01
  L  |   15.5 |   18518 |    95 | 2.38e-01 |  1.19e+02 | 6.13019741e-01
  L  |   15.6 |   18584 |    96 | 3.93e-01 |  7.29e+01 | 4.02222736e-01
 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  E  |   15.7 |   18619 |    97 | 0.00e+00 |  1.83e+04 | 0.00000000e+00
  E  |   16.0 |   18734 |    97 | 7.29e-05 |  1.53e+06 | 3.22566176e-10
  E  |   16.4 |   18934 |    98 | 7.70e-05 |  1.50e+06 | 2.78715091e-08
  E  |   16.8 |   19134 |    99 | 7.70e-05 |  7.41e+06 | 5.73900339e-08
  E  |   17.1 |   19334 |   100 | 7.70e-05 |  4.92e+06 | 1.24663229e-07
  E  |   17.4 |   19534 |   101 | 7.71e-05 |  4.80e+05 | 3.54606607e-07
type |   time |   iters | facts |    shift | violation |     obj value 
  E  |   17.7 |   19734 |   102 | 7.71e-05 |  4.63e+07 | 1.60977363e-06
  E  |   17.9 |   19934 |   103 | 7.71e-05 |  1.36e+07 | 3.16680073e-06
  E  |   18.2 |   20134 |   104 | 7.71e-05 |  1.17e+08 | 3.11414440e-05
  E  |   18.3 |   20240 |   105 | 7.72e-05 |  4.68e-01 | 1.00000000e+00
  E  |   18.4 |   20240 |   105 | 7.72e-05 |  4.68e-01 | 1.00000000e+00
  E  |   18.4 |   20240 |   105 | 7.72e-05 |  4.68e-01 | 1.00000000e+00

Increasing Markowitz threshold.
Least squares LP scaling

 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  L  |    1.3 |       0 |     1 | 0.00e+00 |  1.37e+00 | 1.00000000e+00
 --- active pricer: Devex
  L  |    1.4 |      77 |     1 | 0.00e+00 |  1.57e+03 | 1.00000000e+00
  L  |    1.5 |     200 |     4 | 0.00e+00 |  3.45e-02 | 1.00000000e+00
  L  |    1.6 |     276 |     4 | 0.00e+00 |  6.40e-02 | 1.00000000e+00
  L  |    1.7 |     476 |     5 | 0.00e+00 |  5.34e-02 | 1.00000000e+00
  L  |    1.9 |     676 |     6 | 5.34e-07 |  2.75e-01 | 1.00000000e+00
  L  |    2.1 |     876 |     7 | 5.39e-07 |  2.56e-02 | 1.00000000e+00
  L  |    2.2 |    1076 |     8 | 5.42e-07 |  1.12e-01 | 1.00000000e+00
  E  |    2.4 |    1133 |     9 | 0.00e+00 |  1.10e-07 | 0.00000000e+00
  E  |    2.4 |    1170 |     9 | 0.00e+00 |  1.33e-07 | 0.00000000e+00
  L  |    2.4 |    1171 |    10 | 1.77e-06 |  0.00e+00 | 0.00000000e+00
  E  |    2.4 |    1171 |    10 | 0.00e+00 |  1.73e-06 | 0.00000000e+00
  L  |    2.4 |    1227 |    11 | 7.09e-07 |  0.00e+00 | 0.00000000e+00
  E  |    2.4 |    1227 |    11 | 0.00e+00 |  6.61e-07 | 0.00000000e+00
  L  |    2.4 |    1278 |    12 | 1.54e-06 |  0.00e+00 | 0.00000000e+00
  E  |    2.4 |    1278 |    12 | 0.00e+00 |  1.50e-06 | 0.00000000e+00
  E  |    2.5 |    1304 |    12 | 0.00e+00 |  4.03e-07 | 0.00000000e+00
Caught exception <XSOLVE14 Abort solving due to looping> while solving real LP.

Switching scaling.

  L  |    0.0 |       0 |     1 | 0.00e+00 |  1.42e+06 | 1.00000000e+00
  L  |    0.0 |     180 |     2 | 0.00e+00 |  1.68e+06 | 1.00000000e+00
  L  |    0.0 |     380 |     3 | 0.00e+00 |  1.78e+06 | 1.00000000e+00
  L  |    0.0 |     580 |     4 | 0.00e+00 |  2.03e+06 | 1.00000000e+00
  L  |    0.0 |     780 |     5 | 0.00e+00 |  2.20e+06 | 1.00000000e+00
  L  |    0.0 |     980 |     6 | 0.00e+00 |  1.77e+06 | 1.00000000e+00
  L  |    0.0 |    1180 |     7 | 0.00e+00 |  1.59e+06 | 1.00000000e+00
  L  |    0.1 |    1380 |     8 | 0.00e+00 |  1.63e+06 | 1.00000000e+00
  L  |    0.1 |    1580 |     9 | 0.00e+00 |  1.63e+06 | 1.00000000e+00
  L  |    0.1 |    1780 |    10 | 0.00e+00 |  1.53e+06 | 1.00000000e+00
  L  |    0.1 |    1980 |    11 | 0.00e+00 |  1.19e+06 | 1.00000000e+00
  L  |    0.1 |    2180 |    12 | 3.08e-05 |  2.07e+06 | 1.00266867e+00
  L  |    0.1 |    2380 |    13 | 3.09e-05 |  9.64e+05 | 1.00216247e+00
  L  |    0.1 |    2580 |    14 | 3.09e-05 |  2.15e+06 | 1.00186946e+00
  L  |    0.2 |    2780 |    15 | 3.10e-05 |  1.05e+07 | 1.00156803e+00
  L  |    0.2 |    2980 |    16 | 3.10e-05 |  5.51e+08 | 1.00156803e+00
  L  |    0.3 |    3180 |    17 | 3.10e-05 |  7.67e+06 | 1.00156803e+00
  L  |    0.3 |    3380 |    18 | 3.10e-05 |  4.96e+09 | 1.00146139e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    0.3 |    3580 |    19 | 3.10e-05 |  1.66e+09 | 1.00146139e+00
  L  |    0.4 |    3780 |    20 | 3.10e-05 |  1.41e+09 | 1.00146139e+00
  L  |    0.4 |    3980 |    21 | 3.10e-05 |  1.14e+06 | 1.00139365e+00
  L  |    0.5 |    4179 |    22 | 4.09e-05 |  7.58e+05 | 1.00081462e+00
  L  |    0.5 |    4379 |    23 | 1.37e-04 |  3.05e+08 | 9.74808624e-01
  L  |    0.6 |    4577 |    24 | 1.85e-04 |  1.65e+06 | 9.97644913e-01
  L  |    0.6 |    4775 |    25 | 2.73e-04 |  2.56e+08 | 1.00452471e+00
  L  |    0.6 |    4974 |    26 | 3.32e-04 |  1.88e+08 | 1.01442261e+00
  L  |    0.7 |    5174 |    27 | 3.64e-04 |  1.96e+08 | 1.01615579e+00
  L  |    0.8 |    5374 |    28 | 3.90e-04 |  1.91e+08 | 1.01615579e+00
  L  |    0.8 |    5574 |    29 | 4.01e-04 |  2.66e+08 | 1.01615579e+00
  L  |    0.9 |    5774 |    30 | 4.01e-04 |  2.66e+08 | 1.01615579e+00
  L  |    0.9 |    5974 |    31 | 4.32e-04 |  3.97e+08 | 1.01615579e+00
  L  |    1.0 |    6174 |    32 | 4.36e-04 |  4.63e+08 | 1.01615579e+00
  L  |    1.1 |    6374 |    33 | 4.57e-04 |  4.85e+08 | 1.01615579e+00
  L  |    1.1 |    6574 |    34 | 4.68e-04 |  3.86e+08 | 1.01615579e+00
  L  |    1.2 |    6774 |    35 | 5.11e-04 |  2.83e+08 | 1.01618004e+00
  L  |    1.2 |    6973 |    36 | 5.72e-04 |  2.22e+08 | 1.01717102e+00
  L  |    1.3 |    7170 |    37 | 9.10e-04 |  5.96e+05 | 9.90723722e-01
  L  |    1.4 |    7368 |    38 | 1.14e-03 |  8.15e+05 | 1.00393332e+00
  L  |    1.5 |    7568 |    39 | 1.32e-03 |  1.70e+06 | 1.01508349e+00
  L  |    1.6 |    7768 |    40 | 1.47e-03 |  4.41e+05 | 1.03566225e+00
  L  |    1.6 |    7967 |    41 | 1.54e-03 |  7.19e+05 | 1.03551814e+00
  L  |    1.7 |    8167 |    42 | 1.59e-03 |  7.94e+07 | 1.03920763e+00
  L  |    1.8 |    8366 |    43 | 1.74e-03 |  4.44e+05 | 1.04038566e+00
  L  |    1.9 |    8564 |    44 | 1.82e-03 |  1.16e+06 | 1.04166432e+00
  L  |    2.0 |    8745 |    45 | 2.33e-03 |  4.34e+05 | 8.87952634e-01
  L  |    2.0 |    8925 |    46 | 3.74e-03 |  1.37e+07 | 1.01209969e+00
  L  |    2.1 |    9125 |    47 | 5.09e-03 |  3.52e+06 | 1.11547394e+00
  L  |    2.2 |    9319 |    48 | 5.56e-03 |  4.18e+05 | 1.07796381e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    2.3 |    9517 |    49 | 6.23e-03 |  5.33e+05 | 1.11598036e+00
  L  |    2.4 |    9716 |    50 | 6.87e-03 |  2.50e+06 | 1.17752538e+00
  L  |    2.4 |    9916 |    51 | 7.54e-03 |  7.00e+05 | 1.13001127e+00
 --- initializing steepest edge multipliers
 --- active pricer: SteepEx
  L  |    3.1 |   10116 |    52 | 7.96e-03 |  4.03e+06 | 1.19164863e+00
  L  |    3.2 |   10316 |    53 | 8.56e-03 |  1.23e+09 | 1.19008956e+00
  L  |    3.4 |   10516 |    54 | 8.78e-03 |  1.76e+07 | 1.18458160e+00
  L  |    3.5 |   10716 |    55 | 9.11e-03 |  1.47e+07 | 1.18109145e+00
  L  |    3.7 |   10916 |    56 | 9.56e-03 |  9.82e+06 | 1.18062909e+00
  L  |    3.8 |   11116 |    57 | 9.62e-03 |  3.08e+05 | 1.15704378e+00
  L  |    4.0 |   11316 |    58 | 9.83e-03 |  9.96e+05 | 1.14746985e+00
  L  |    4.1 |   11516 |    59 | 9.85e-03 |  2.68e+08 | 1.14206142e+00
  L  |    4.2 |   11716 |    60 | 9.85e-03 |  4.63e+08 | 1.14108244e+00
  L  |    4.4 |   11916 |    61 | 9.87e-03 |  4.09e+05 | 1.13859528e+00
