SoPlex version 4.0.0 [mode: optimized] [precision: 8 byte] [rational: GMP 6.1.2] [githash: 82cab95]
Copyright (c) 1996-2018 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

int:simplifier = 0
int:scaler = 5
int:readmode = 1
int:solvemode = 2
int:checkmode = 2
real:feastol = 1.00000000e-20
real:opttol = 1.00000000e-20
real:timelimit = 3.00000000e+02

Reading (rational) LP file <Simulation.lp> . . .
Reading took 0.88 seconds.

LP has 16976 rows 21424 columns and 116419 nonzeros.

Initial floating-point solve . . .
Least squares LP scaling

type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    0.0 |       0 |     1 | 8.19e+03 |  9.80e+03 | 0.00000000e+00
  L  |    0.0 |     199 |     1 | 8.19e+03 |  1.71e+03 | 0.00000000e+00
  L  |    0.0 |     399 |     2 | 8.19e+03 |  1.65e+03 | 0.00000000e+00
  L  |    0.0 |     599 |     3 | 8.19e+03 |  1.40e+03 | 0.00000000e+00
  L  |    0.0 |     799 |     4 | 8.19e+03 |  1.29e+03 | 0.00000000e+00
  L  |    0.1 |     999 |     5 | 8.19e+03 |  1.24e+03 | 0.00000000e+00
  L  |    0.1 |    1199 |     6 | 8.19e+03 |  1.16e+03 | 0.00000000e+00
  L  |    0.1 |    1399 |     7 | 8.19e+03 |  7.61e+02 | 0.00000000e+00
  L  |    0.1 |    1599 |     8 | 8.19e+03 |  9.31e+02 | 0.00000000e+00
  L  |    0.1 |    1799 |     9 | 8.19e+03 |  6.95e+02 | 0.00000000e+00
  L  |    0.1 |    1999 |    10 | 8.19e+03 |  5.55e+02 | 0.00000000e+00
  L  |    0.2 |    2199 |    11 | 8.19e+03 |  4.70e+02 | 1.06010002e-07
  L  |    0.2 |    2399 |    12 | 8.19e+03 |  5.03e+02 | 1.06010002e-07
  L  |    0.3 |    2599 |    13 | 8.19e+03 |  5.28e+02 | 1.06010002e-07
  L  |    0.4 |    2799 |    14 | 8.19e+03 |  3.76e+02 | 1.06010002e-07
  L  |    0.4 |    2999 |    15 | 8.19e+03 |  3.09e+02 | 1.06010002e-07
  L  |    0.5 |    3199 |    16 | 8.19e+03 |  3.23e+02 | 1.06010002e-07
  L  |    0.6 |    3399 |    17 | 8.19e+03 |  3.64e+02 | 1.06010002e-07
  L  |    0.6 |    3599 |    18 | 8.19e+03 |  2.68e+02 | 1.06010002e-07
  L  |    0.7 |    3799 |    19 | 8.19e+03 |  4.75e+02 | 1.06010002e-07
  L  |    0.8 |    3999 |    20 | 8.19e+03 |  2.89e+02 | 1.06010002e-07
  L  |    0.8 |    4199 |    21 | 8.19e+03 |  4.11e+02 | 1.06010002e-07
  L  |    0.9 |    4399 |    22 | 8.19e+03 |  1.77e+02 | 1.11893801e-06
  L  |    0.9 |    4599 |    23 | 8.19e+03 |  1.54e+02 | 9.53212082e-07
  L  |    1.0 |    4799 |    24 | 8.19e+03 |  1.39e+02 | 9.21081726e-07
  L  |    1.1 |    4999 |    25 | 8.19e+03 |  1.09e+02 | 8.49570886e-07
  L  |    1.1 |    5199 |    26 | 8.19e+03 |  1.72e+02 | 7.77613896e-07
  L  |    1.2 |    5399 |    27 | 8.19e+03 |  1.03e+02 | 6.78113934e-07
  L  |    1.3 |    5599 |    28 | 8.19e+03 |  6.20e+01 | 5.10903349e-07
  L  |    1.3 |    5799 |    29 | 8.19e+03 |  5.93e+01 | 4.23754050e-07
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    1.4 |    5999 |    30 | 8.19e+03 |  2.35e+01 | 3.20554333e-07
  L  |    1.4 |    6199 |    31 | 8.19e+03 |  3.22e+01 | 2.82933106e-07
  L  |    1.5 |    6399 |    32 | 8.19e+03 |  6.95e+01 | 2.30373251e-07
  L  |    1.6 |    6599 |    33 | 8.19e+03 |  3.51e+01 | 1.98941547e-07
  L  |    1.7 |    6799 |    34 | 8.19e+03 |  2.02e+01 | 1.51636333e-07
  L  |    1.8 |    6999 |    35 | 8.19e+03 |  1.84e+01 | 1.25973904e-07
  L  |    1.8 |    7199 |    36 | 8.19e+03 |  1.26e+00 | 4.30355588e-08
  L  |    1.9 |    7399 |    37 | 8.19e+03 |  2.97e+00 | 3.55426091e-08
  L  |    2.0 |    7599 |    38 | 8.19e+03 |  2.05e+00 | 3.12703848e-08
  L  |    2.1 |    7799 |    40 | 8.19e+03 |  1.73e+00 | 2.95380895e-08
  L  |    2.2 |    7999 |    41 | 8.19e+03 |  1.60e+00 | 2.52246587e-08
  L  |    2.3 |    8199 |    43 | 8.19e+03 |  7.61e-01 | 2.20986574e-08
  L  |    2.4 |    8399 |    44 | 8.19e+03 |  2.61e+00 | 1.95430593e-08
  L  |    2.5 |    8599 |    45 | 8.19e+03 |  1.87e-01 | 1.78347519e-08
  L  |    2.6 |    8799 |    47 | 8.19e+03 |  3.39e-01 | 1.73120444e-08
  L  |    2.7 |    8999 |    48 | 8.19e+03 |  4.24e-02 | 1.62664788e-08
  L  |    2.8 |    9199 |    49 | 8.19e+03 |  6.46e-02 | 1.57703051e-08
  L  |    2.9 |    9399 |    50 | 8.19e+03 |  8.40e-03 | 1.52456223e-08
  L  |    3.0 |    9599 |    52 | 8.19e+03 |  6.61e-03 | 1.50874219e-08
  L  |    3.1 |    9799 |    54 | 8.19e+03 |  4.80e-03 | 1.49471323e-08
  L  |    3.2 |    9999 |    55 | 8.19e+03 |  9.11e-03 | 1.44907597e-08
 --- initializing steepest edge multipliers
 --- active pricer: SteepEx
  L  |    4.0 |   10199 |    56 | 8.19e+03 |  4.17e-03 | 1.37212036e-08
  L  |    4.2 |   10399 |    58 | 8.19e+03 |  2.91e-03 | 1.30126653e-08
  L  |    4.2 |   10599 |    59 | 8.19e+03 |  3.73e-03 | 1.24232222e-08
  L  |    4.4 |   10799 |    61 | 8.19e+03 |  2.37e-03 | 1.19559635e-08
  L  |    4.6 |   10999 |    62 | 8.19e+03 |  3.89e-02 | 1.18496716e-08
  L  |    4.8 |   11199 |    64 | 8.19e+03 |  6.56e-02 | 1.16724860e-08
  L  |    5.0 |   11399 |    66 | 8.19e+03 |  1.64e-02 | 1.15424313e-08
  L  |    5.2 |   11599 |    68 | 8.19e+03 |  1.43e-02 | 1.13648422e-08
  L  |    5.3 |   11799 |    70 | 8.19e+03 |  1.44e-02 | 1.12527359e-08
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    5.4 |   11999 |    72 | 8.19e+03 |  1.35e-02 | 1.09266511e-08
  L  |    5.6 |   12199 |    74 | 8.19e+03 |  8.91e-02 | 1.06994228e-08
  L  |    5.7 |   12399 |    76 | 8.19e+03 |  1.37e-03 | 1.03528316e-08
  L  |    5.9 |   12599 |    77 | 8.19e+03 |  4.08e-02 | 1.02490766e-08
  L  |    6.1 |   12799 |    79 | 8.19e+03 |  1.34e-01 | 1.02003640e-08
  L  |    6.3 |   12999 |    81 | 8.19e+03 |  4.50e-02 | 1.00400423e-08
  L  |    6.5 |   13199 |    83 | 8.19e+03 |  4.95e-03 | 9.78766368e-09
  L  |    6.7 |   13399 |    85 | 8.19e+03 |  8.30e-03 | 9.62994516e-09
  L  |    6.9 |   13599 |    87 | 8.19e+03 |  1.42e-01 | 6.64855831e-09
  L  |    7.1 |   13656 |    89 | 8.19e+03 |  1.13e+02 | -1.83590299e-04

Floating-point infeasible.
Setting up LP to test for feasibility.
Initial floating-point solve . . .

 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  L  |    1.4 |       0 |     1 | 0.00e+00 |  2.58e+05 | 1.00000000e+00
 --- active pricer: Devex
  L  |    1.4 |       0 |     1 | 0.00e+00 |  2.58e+05 | 1.00000000e+00
  L  |    1.5 |     187 |     1 | 4.20e-05 |  6.09e+07 | 1.00000000e+00
  L  |    1.6 |     200 |     9 | 0.00e+00 |  2.58e+05 | 1.00000000e+00
  L  |    1.7 |     344 |     9 | 0.00e+00 |  4.89e+06 | 1.00000000e+00
Caught exception <Basis is singular (numerical troubles, feastol = 1e-09, opttol = 1e-11)> while solving real LP.

Numerical troubles during floating-point solve.
Turning off preprocessing.

  L  |    0.0 |       0 |     1 | 0.00e+00 |  1.42e+06 | 1.00000000e+00
  L  |    0.0 |     143 |     2 | 0.00e+00 |  1.79e+06 | 1.00000000e+00
  L  |    0.0 |     343 |     3 | 0.00e+00 |  1.81e+06 | 1.00000000e+00
  L  |    0.0 |     543 |     4 | 0.00e+00 |  1.79e+06 | 1.00000000e+00
  L  |    0.0 |     743 |     5 | 0.00e+00 |  2.19e+06 | 1.00000000e+00
  L  |    0.0 |     943 |     6 | 0.00e+00 |  2.79e+06 | 1.00000000e+00
  L  |    0.1 |    1143 |     7 | 0.00e+00 |  2.16e+06 | 1.00000000e+00
  L  |    0.1 |    1343 |     8 | 0.00e+00 |  1.78e+06 | 1.00000000e+00
  L  |    0.1 |    1543 |     9 | 0.00e+00 |  1.57e+06 | 1.00000000e+00
  L  |    0.1 |    1743 |    10 | 0.00e+00 |  1.95e+06 | 1.00000000e+00
  L  |    0.1 |    1943 |    11 | 8.42e-05 |  1.58e+06 | 1.00613262e+00
  L  |    0.1 |    2143 |    12 | 8.42e-05 |  9.64e+05 | 1.00540192e+00
  L  |    0.1 |    2342 |    13 | 8.42e-05 |  8.50e+05 | 1.00442869e+00
  L  |    0.1 |    2542 |    14 | 8.52e-05 |  6.79e+05 | 1.00144222e+00
  L  |    0.2 |    2740 |    15 | 9.19e-05 |  1.11e+10 | 1.00127477e+00
  L  |    0.2 |    2940 |    16 | 9.48e-05 |  2.00e+10 | 1.00179308e+00
  L  |    0.3 |    3140 |    17 | 1.03e-04 |  1.44e+10 | 1.00358768e+00
  L  |    0.3 |    3339 |    18 | 1.09e-04 |  1.81e+10 | 1.00393606e+00
  L  |    0.3 |    3537 |    19 | 1.17e-04 |  2.68e+09 | 1.00221829e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    0.4 |    3737 |    20 | 1.25e-04 |  2.21e+06 | 1.00436960e+00
  L  |    0.4 |    3937 |    21 | 1.28e-04 |  3.18e+06 | 1.00440772e+00
  L  |    0.5 |    4137 |    22 | 1.30e-04 |  1.71e+08 | 1.00440772e+00
  L  |    0.5 |    4337 |    23 | 1.36e-04 |  3.38e+08 | 1.00464974e+00
  L  |    0.6 |    4537 |    24 | 1.40e-04 |  8.94e+06 | 1.00464569e+00
  L  |    0.7 |    4737 |    25 | 1.42e-04 |  9.80e+06 | 1.00464644e+00
  L  |    0.7 |    4937 |    26 | 1.45e-04 |  5.65e+10 | 1.00464726e+00
  L  |    0.8 |    5137 |    27 | 2.72e-04 |  8.59e+06 | 1.00662581e+00
  L  |    0.8 |    5337 |    28 | 2.72e-04 |  1.20e+06 | 1.00653225e+00
  L  |    0.9 |    5537 |    29 | 2.73e-04 |  5.13e+08 | 1.00649457e+00
  L  |    1.0 |    5737 |    30 | 2.73e-04 |  5.13e+08 | 1.00649457e+00
  L  |    1.0 |    5937 |    31 | 2.75e-04 |  8.62e+05 | 1.00650513e+00
  L  |    1.1 |    6137 |    32 | 2.76e-04 |  4.06e+08 | 1.00549597e+00
  L  |    1.1 |    6337 |    33 | 2.77e-04 |  1.30e+06 | 1.00533896e+00
  L  |    1.2 |    6537 |    34 | 2.78e-04 |  8.92e+08 | 1.00494667e+00
  L  |    1.3 |    6734 |    35 | 2.79e-04 |  1.20e+06 | 1.00543303e+00
  L  |    1.4 |    6934 |    36 | 2.79e-04 |  1.23e+08 | 1.00542176e+00
  L  |    1.4 |    7134 |    37 | 2.79e-04 |  6.41e+08 | 1.00541218e+00
  L  |    1.5 |    7334 |    38 | 2.79e-04 |  3.98e+07 | 1.00540706e+00
  L  |    1.6 |    7534 |    39 | 2.80e-04 |  7.73e+07 | 1.00525849e+00
  L  |    1.6 |    7734 |    40 | 2.81e-04 |  1.94e+05 | 1.00522367e+00
  L  |    1.7 |    7932 |    41 | 3.10e-04 |  2.86e+05 | 1.00547913e+00
  L  |    1.8 |    8131 |    42 | 3.24e-04 |  6.39e+09 | 1.00513401e+00
  L  |    1.9 |    8330 |    43 | 3.27e-04 |  8.24e+06 | 1.00525474e+00
  L  |    2.0 |    8525 |    44 | 3.31e-04 |  8.02e+06 | 1.00395027e+00
  L  |    2.1 |    8722 |    45 | 3.33e-04 |  7.79e+06 | 1.00387239e+00
  L  |    2.2 |    8913 |    46 | 3.37e-04 |  1.01e+07 | 1.00162513e+00
  L  |    2.3 |    9098 |    47 | 4.13e-04 |  2.76e+08 | 9.83664200e-01
  L  |    2.4 |    9269 |    48 | 1.06e-03 |  7.59e+06 | 1.01167224e+00
  L  |    2.5 |    9451 |    49 | 1.96e-03 |  8.02e+06 | 8.61232046e-01
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    2.6 |    9630 |    49 | 6.22e-03 |  5.44e+06 | 9.06216565e-01
  L  |    2.8 |    9808 |    50 | 8.25e-03 |  1.66e+07 | 9.08505319e-01
  L  |    2.9 |    9986 |    51 | 1.08e-02 |  3.61e+06 | 7.41579211e-01
 --- initializing steepest edge multipliers
 --- active pricer: SteepEx
  L  |    3.6 |   10186 |    52 | 1.17e-02 |  5.01e+06 | 6.84311391e-01
  L  |    3.8 |   10386 |    53 | 1.27e-02 |  3.82e+06 | 6.84311375e-01
  L  |    4.0 |   10586 |    54 | 1.37e-02 |  1.71e+07 | 6.84311375e-01
  L  |    4.2 |   10785 |    55 | 1.49e-02 |  4.16e+08 | 7.12594949e-01
  L  |    4.3 |   10984 |    56 | 1.73e-02 |  9.62e+08 | 1.00409786e+00
  L  |    4.5 |   11182 |    57 | 1.91e-02 |  1.34e+10 | 1.21854367e+00
  L  |    4.7 |   11374 |    58 | 2.19e-02 |  5.94e+09 | 1.08624634e+00
  L  |    4.9 |   11566 |    59 | 2.42e-02 |  9.26e+08 | 1.12046884e+00
  L  |    5.0 |   11758 |    60 | 2.72e-02 |  1.28e+10 | 9.92970784e-01
  L  |    5.2 |   11944 |    61 | 2.96e-02 |  1.67e+07 | 1.08610753e+00
  L  |    5.4 |   12131 |    62 | 3.31e-02 |  1.45e+10 | 1.06269260e+00
  L  |    5.6 |   12331 |    63 | 3.35e-02 |  1.24e+10 | 1.06269255e+00
