KCAT	Carpoglyphus lactis	2996	geraniol	*pH 8.5, 22&deg;C
KM	Carpoglyphus lactis	0.0595	NAD+	*pH 8.5, 22&Acirc;&deg;C
KM	Carpoglyphus lactis	0.051	geraniol	*pH 8.5, 22&Acirc;&deg;C
MW	Carpoglyphus lactis	40630	*	*1 * 40630, calculated from sequence
MW	Carpoglyphus lactis	42800	*	*1 * 42800, SDS-PAGE
PATH	*	Terpenoid backbone biosynthesis	*	*
PATH	*	Sesquiterpenoid and triterpenoid biosynthesis	*	*
PATH	*	Biosynthesis of antibiotics	*	*
SA	Carpoglyphus lactis	31	*	*pH 8.5, 22&Acirc;&deg;C
